,open,high,low,close,volume,value
2023-01-28 09:00:00,28950000.0,29118000.0,28931000.0,29108000.0,788.88086741,22910230837.45442
2023-01-28 13:00:00,29109000.0,29117000.0,28890000.0,28902000.0,751.43358116,21792973284.34985
2023-01-28 17:00:00,28902000.0,28999000.0,28900000.0,28954000.0,319.29988783,9245507389.21679
2023-01-28 21:00:00,28954000.0,29070000.0,28800000.0,29027000.0,567.3415995,16415745537.00231
2023-01-29 01:00:00,29025000.0,29069000.0,28990000.0,29040000.0,182.37377791,5293847692.92896
2023-01-29 05:00:00,29040000.0,29075000.0,28964000.0,29063000.0,259.58838096,7537922428.27644
2023-01-29 09:00:00,29064000.0,29478000.0,28984000.0,29250000.0,1130.68960256,33048452281.1
2023-01-29 13:00:00,29249000.0,29289000.0,29159000.0,29226000.0,436.63595726,12765296101.03635
2023-01-29 17:00:00,29226000.0,29500000.0,29132000.0,29405000.0,1093.38131258,32078555789.94064
2023-01-29 21:00:00,29406000.0,29600000.0,29300000.0,29496000.0,1104.04741954,32555108777.65586
2023-01-30 01:00:00,29496000.0,29922000.0,29453000.0,29888000.0,570.89894965,16944271945.48834
2023-01-30 05:00:00,29888000.0,29888000.0,29564000.0,29670000.0,572.23923265,17009825794.56481
2023-01-30 09:00:00,29657000.0,29777000.0,29536000.0,29692000.0,950.20225786,28161276506.27259
2023-01-30 13:00:00,29693000.0,29749000.0,29563000.0,29606000.0,680.66852485,20187758503.26106
2023-01-30 17:00:00,29621000.0,29621000.0,28885000.0,28929000.0,2653.66978298,77342421276.31805
2023-01-30 21:00:00,28929000.0,29185000.0,28800000.0,29060000.0,1133.08641461,32832783451.75452
2023-01-31 01:00:00,29073000.0,29123000.0,28510000.0,28644000.0,627.66833999,18093747579.07697
2023-01-31 05:00:00,28644000.0,28746000.0,28323000.0,28706000.0,906.93388187,25897037077.14141
2023-01-31 09:00:00,28724000.0,28809000.0,28474000.0,28638000.0,955.23904187,27378528199.79985
2023-01-31 13:00:00,28638000.0,28793000.0,28430000.0,28758000.0,794.88429226,22729301832.02898
2023-01-31 17:00:00,28763000.0,28786000.0,28566000.0,28722000.0,727.64417459,20870183431.56047
2023-01-31 21:00:00,28723000.0,29153000.0,28696000.0,29069000.0,1207.23429138,34949871400.39994
2023-02-01 01:00:00,29069000.0,29101000.0,28957000.0,28979000.0,292.75933235,8496493984.81486
